,FI
geo_level_2_id_1307,0
geo_level_2_id_1208,0
geo_level_2_id_82,0
geo_level_2_id_1311,0
geo_level_2_id_1312,0
geo_level_2_id_1200,0
geo_level_2_id_1296,0
geo_level_2_id_1314,0
geo_level_2_id_1204,0
geo_level_2_id_1315,0
geo_level_2_id_1316,0
geo_level_2_id_114,0
geo_level_2_id_1292,0
geo_level_2_id_115,0
geo_level_2_id_1201,0
geo_level_2_id_1291,0
geo_level_2_id_1290,0
geo_level_2_id_1178,0
geo_level_2_id_1177,0
geo_level_2_id_132,0
geo_level_2_id_1151,0
geo_level_2_id_1158,0
geo_level_2_id_1362,0
geo_level_2_id_1364,0
geo_level_2_id_1157,0
geo_level_2_id_1156,0
geo_level_2_id_1230,0
geo_level_2_id_1232,0
geo_level_2_id_125,0
geo_level_2_id_1153,0
geo_level_2_id_1367,0
geo_level_2_id_1369,0
geo_level_2_id_1370,0
geo_level_2_id_1360,0
geo_level_2_id_1371,0
geo_level_2_id_68,0
geo_level_2_id_1299,0
geo_level_2_id_67,0
geo_level_2_id_1236,0
geo_level_2_id_1145,0
geo_level_2_id_1379,0
geo_level_2_id_1143,0
geo_level_2_id_1237,0
geo_level_2_id_130,0
geo_level_2_id_1238,0
geo_level_2_id_1361,0
geo_level_2_id_1358,0
geo_level_2_id_1340,0
geo_level_2_id_1348,0
geo_level_2_id_1341,0
geo_level_2_id_1175,0
geo_level_2_id_1344,0
geo_level_2_id_106,0
geo_level_2_id_1173,0
geo_level_2_id_1346,0
geo_level_2_id_1172,0
geo_level_2_id_1171,0
geo_level_2_id_1347,0
geo_level_2_id_1281,0
geo_level_2_id_121,0
geo_level_2_id_1349,0
geo_level_2_id_75,0
geo_level_2_id_78,0
geo_level_2_id_1167,0
geo_level_2_id_1351,0
geo_level_2_id_1254,0
geo_level_2_id_1165,0
geo_level_2_id_1163,0
geo_level_2_id_1353,0
geo_level_2_id_1354,0
geo_level_2_id_1162,0
geo_level_2_id_77,0
geo_level_2_id_92,0
geo_level_2_id_362,0
geo_level_2_id_914,0
geo_level_2_id_150,0
geo_level_2_id_604,0
geo_level_2_id_590,0
geo_level_2_id_298,0
geo_level_2_id_593,0
geo_level_2_id_594,0
geo_level_2_id_595,0
geo_level_2_id_297,0
geo_level_2_id_599,0
geo_level_2_id_601,0
geo_level_2_id_602,0
geo_level_2_id_294,0
geo_level_2_id_585,0
geo_level_2_id_607,0
geo_level_2_id_608,0
geo_level_2_id_609,0
geo_level_2_id_610,0
geo_level_2_id_612,0
geo_level_2_id_293,0
geo_level_2_id_614,0
geo_level_2_id_615,0
geo_level_2_id_291,0
geo_level_2_id_589,0
geo_level_2_id_579,0
geo_level_2_id_620,0
geo_level_2_id_559,0
geo_level_2_id_542,0
geo_level_2_id_543,0
geo_level_2_id_312,0
geo_level_2_id_550,0
geo_level_2_id_552,0
geo_level_2_id_554,0
geo_level_2_id_309,0
geo_level_2_id_307,0
geo_level_2_id_306,0
geo_level_2_id_560,0
geo_level_2_id_578,0
geo_level_2_id_563,0
geo_level_2_id_564,0
geo_level_2_id_304,0
geo_level_2_id_570,0
geo_level_2_id_301,0
geo_level_2_id_573,0
geo_level_2_id_299,0
geo_level_2_id_576,0
geo_level_2_id_577,0
geo_level_2_id_618,0
geo_level_2_id_290,0
geo_level_2_id_711,0
geo_level_2_id_686,0
geo_level_2_id_668,0
geo_level_2_id_669,0
geo_level_2_id_279,0
geo_level_2_id_24,0
geo_level_2_id_674,0
geo_level_2_id_278,0
geo_level_2_id_679,0
geo_level_2_id_683,0
geo_level_2_id_684,0
geo_level_2_id_687,0
geo_level_2_id_665,0
geo_level_2_id_688,0
geo_level_2_id_277,0
geo_level_2_id_692,0
geo_level_2_id_693,0
geo_level_2_id_273,0
geo_level_2_id_272,0
geo_level_2_id_698,0
geo_level_2_id_271,0
geo_level_2_id_702,0
geo_level_2_id_666,0
geo_level_2_id_664,0
geo_level_2_id_622,0
geo_level_2_id_286,0
geo_level_2_id_623,0
geo_level_2_id_624,0
geo_level_2_id_627,0
geo_level_2_id_631,0
geo_level_2_id_632,0
geo_level_2_id_633,0
geo_level_2_id_288,0
geo_level_2_id_635,0
geo_level_2_id_637,0
geo_level_2_id_285,0
geo_level_2_id_662,0
geo_level_2_id_642,0
geo_level_2_id_644,0
geo_level_2_id_646,0
geo_level_2_id_650,0
geo_level_2_id_283,0
geo_level_2_id_653,0
geo_level_2_id_655,0
geo_level_2_id_656,0
geo_level_2_id_657,0
geo_level_2_id_541,0
geo_level_2_id_540,0
geo_level_2_id_315,0
geo_level_2_id_427,0
geo_level_2_id_406,0
geo_level_2_id_409,0
geo_level_2_id_410,0
geo_level_2_id_411,0
geo_level_2_id_413,0
geo_level_2_id_346,0
geo_level_2_id_416,0
geo_level_2_id_344,0
geo_level_2_id_425,0
geo_level_2_id_428,0
geo_level_2_id_404,0
geo_level_2_id_431,0
geo_level_2_id_341,0
geo_level_2_id_340,0
geo_level_2_id_434,0
geo_level_2_id_436,0
geo_level_2_id_437,0
geo_level_2_id_439,0
geo_level_2_id_441,0
geo_level_2_id_442,0
geo_level_2_id_347,0
geo_level_2_id_403,0
geo_level_2_id_532,0
geo_level_2_id_377,0
geo_level_2_id_365,0
geo_level_2_id_361,0
geo_level_2_id_367,0
geo_level_2_id_360,0
geo_level_2_id_370,0
geo_level_2_id_372,0
geo_level_2_id_359,0
geo_level_2_id_375,0
geo_level_2_id_357,0
geo_level_2_id_379,0
geo_level_2_id_402,0
geo_level_2_id_383,0
geo_level_2_id_354,0
geo_level_2_id_386,0
geo_level_2_id_387,0
geo_level_2_id_351,0
geo_level_2_id_391,0
geo_level_2_id_392,0
geo_level_2_id_393,0
geo_level_2_id_348,0
geo_level_2_id_444,0
geo_level_2_id_448,0
geo_level_2_id_456,0
geo_level_2_id_515,0
geo_level_2_id_496,0
geo_level_2_id_498,0
geo_level_2_id_320,0
geo_level_2_id_502,0
geo_level_2_id_505,0
geo_level_2_id_507,0
geo_level_2_id_319,0
geo_level_2_id_509,0
geo_level_2_id_510,0
geo_level_2_id_318,0
geo_level_2_id_332,0
geo_level_2_id_518,0
geo_level_2_id_520,0
geo_level_2_id_522,0
geo_level_2_id_524,0
geo_level_2_id_525,0
geo_level_2_id_528,0
geo_level_2_id_317,0
geo_level_2_id_530,0
geo_level_2_id_316,0
geo_level_2_id_495,0
geo_level_2_id_494,0
geo_level_2_id_493,0
geo_level_2_id_325,0
geo_level_2_id_458,0
geo_level_2_id_331,0
geo_level_2_id_461,0
geo_level_2_id_462,0
geo_level_2_id_25,0
geo_level_2_id_465,0
geo_level_2_id_467,0
geo_level_2_id_468,0
geo_level_2_id_469,0
geo_level_2_id_470,0
geo_level_2_id_330,0
geo_level_2_id_472,0
geo_level_2_id_329,0
geo_level_2_id_476,0
geo_level_2_id_478,0
geo_level_2_id_482,0
geo_level_2_id_483,0
geo_level_2_id_485,0
geo_level_2_id_486,0
geo_level_2_id_705,0
geo_level_2_id_716,0
geo_level_2_id_152,0
geo_level_2_id_955,0
geo_level_2_id_940,0
geo_level_2_id_186,0
geo_level_2_id_947,0
geo_level_2_id_948,0
geo_level_2_id_950,0
geo_level_2_id_951,0
geo_level_2_id_952,0
geo_level_2_id_185,0
geo_level_2_id_954,0
geo_level_2_id_184,0
geo_level_2_id_188,0
geo_level_2_id_961,0
geo_level_2_id_962,0
geo_level_2_id_183,0
geo_level_2_id_966,0
geo_level_2_id_182,0
geo_level_2_id_968,0
geo_level_2_id_970,0
geo_level_2_id_971,0
geo_level_2_id_975,0
geo_level_2_id_939,0
geo_level_2_id_189,0
geo_level_2_id_180,0
geo_level_2_id_200,0
geo_level_2_id_894,0
geo_level_2_id_204,0
geo_level_2_id_899,0
geo_level_2_id_903,0
geo_level_2_id_202,0
geo_level_2_id_906,0
geo_level_2_id_908,0
geo_level_2_id_911,0
geo_level_2_id_201,0
geo_level_2_id_915,0
geo_level_2_id_934,0
geo_level_2_id_916,0
geo_level_2_id_917,0
geo_level_2_id_920,0
geo_level_2_id_921,0
geo_level_2_id_196,0
geo_level_2_id_924,0
geo_level_2_id_927,0
geo_level_2_id_195,0
geo_level_2_id_194,0
geo_level_2_id_976,0
geo_level_2_id_978,0
geo_level_2_id_717,0
geo_level_2_id_1061,0
geo_level_2_id_1042,0
geo_level_2_id_1043,0
geo_level_2_id_1048,0
geo_level_2_id_1052,0
geo_level_2_id_28,0
geo_level_2_id_156,0
geo_level_2_id_1057,0
geo_level_2_id_1058,0
geo_level_2_id_1059,0
geo_level_2_id_1064,0
geo_level_2_id_1037,0
geo_level_2_id_1066,0
geo_level_2_id_1069,0
geo_level_2_id_1070,0
geo_level_2_id_1072,0
geo_level_2_id_154,0
geo_level_2_id_153,0
geo_level_2_id_1075,0
geo_level_2_id_1077,0
geo_level_2_id_1078,0
geo_level_2_id_159,0
geo_level_2_id_160,0
geo_level_2_id_179,0
geo_level_2_id_1003,0
geo_level_2_id_982,0
geo_level_2_id_983,0
geo_level_2_id_988,0
geo_level_2_id_989,0
geo_level_2_id_990,0
geo_level_2_id_176,0
geo_level_2_id_993,0
geo_level_2_id_995,0
geo_level_2_id_999,0
geo_level_2_id_168,0
geo_level_2_id_1034,0
geo_level_2_id_1010,0
geo_level_2_id_1013,0
geo_level_2_id_1016,0
geo_level_2_id_1017,0
geo_level_2_id_166,0
geo_level_2_id_1025,0
geo_level_2_id_163,0
geo_level_2_id_1027,0
geo_level_2_id_1032,0
geo_level_2_id_893,0
geo_level_2_id_205,0
geo_level_2_id_888,0
geo_level_2_id_776,0
geo_level_2_id_759,0
geo_level_2_id_241,0
geo_level_2_id_764,0
geo_level_2_id_768,0
geo_level_2_id_769,0
geo_level_2_id_771,0
geo_level_2_id_237,0
geo_level_2_id_774,0
geo_level_2_id_775,0
geo_level_2_id_779,0
geo_level_2_id_242,0
geo_level_2_id_780,0
geo_level_2_id_781,0
geo_level_2_id_784,0
geo_level_2_id_785,0
geo_level_2_id_786,0
geo_level_2_id_787,0
geo_level_2_id_234,0
geo_level_2_id_789,0
geo_level_2_id_792,0
geo_level_2_id_758,0
geo_level_2_id_756,0
geo_level_2_id_887,0
geo_level_2_id_249,0
geo_level_2_id_265,0
geo_level_2_id_722,0
geo_level_2_id_723,0
geo_level_2_id_725,0
geo_level_2_id_253,0
geo_level_2_id_252,0
geo_level_2_id_731,0
geo_level_2_id_733,0
geo_level_2_id_250,0
geo_level_2_id_736,0
geo_level_2_id_243,0
geo_level_2_id_737,0
geo_level_2_id_738,0
geo_level_2_id_739,0
geo_level_2_id_248,0
geo_level_2_id_742,0
geo_level_2_id_743,0
geo_level_2_id_245,0
geo_level_2_id_748,0
geo_level_2_id_750,0
geo_level_2_id_794,0
geo_level_2_id_795,0
geo_level_2_id_796,0
geo_level_2_id_209,0
geo_level_2_id_853,0
geo_level_2_id_854,0
geo_level_2_id_857,0
geo_level_2_id_860,0
geo_level_2_id_861,0
geo_level_2_id_862,0
geo_level_2_id_865,0
geo_level_2_id_866,0
geo_level_2_id_868,0
geo_level_2_id_870,0
geo_level_2_id_798,0
geo_level_2_id_871,0
geo_level_2_id_872,0
geo_level_2_id_874,0
geo_level_2_id_877,0
geo_level_2_id_878,0
geo_level_2_id_880,0
geo_level_2_id_882,0
geo_level_2_id_207,0
geo_level_2_id_22,0
geo_level_2_id_848,0
geo_level_2_id_847,0
geo_level_2_id_844,0
geo_level_2_id_841,0
geo_level_2_id_231,0
geo_level_2_id_228,0
geo_level_2_id_806,0
geo_level_2_id_807,0
geo_level_2_id_809,0
geo_level_2_id_810,0
geo_level_2_id_814,0
geo_level_2_id_815,0
geo_level_2_id_224,0
geo_level_2_id_822,0
geo_level_2_id_823,0
geo_level_2_id_824,0
geo_level_2_id_222,0
geo_level_2_id_220,0
geo_level_2_id_831,0
geo_level_2_id_833,0
geo_level_2_id_835,0
geo_level_2_id_836,0
geo_level_2_id_840,0
geo_level_2_id_703,0
