,FI
geo_level_2_id_690,47
geo_level_2_id_826,47
geo_level_2_id_793,47
geo_level_2_id_1110,47
geo_level_2_id_763,47
geo_level_2_id_254,47
geo_level_2_id_257,46
geo_level_2_id_713,46
geo_level_2_id_616,46
geo_level_2_id_566,46
geo_level_2_id_572,46
geo_level_2_id_4,46
geo_level_2_id_174,46
geo_level_2_id_832,45
geo_level_2_id_885,45
geo_level_2_id_932,45
geo_level_2_id_964,45
geo_level_2_id_356,45
geo_level_2_id_707,45
geo_level_2_id_275,45
geo_level_2_id_1082,45
geo_level_2_id_1368,45
geo_level_2_id_545,45
geo_level_2_id_487,44
geo_level_2_id_1009,44
geo_level_2_id_9,44
geo_level_2_id_457,44
geo_level_2_id_490,44
geo_level_2_id_447,44
geo_level_2_id_414,44
geo_level_2_id_255,44
plan_configuration_s,43
geo_level_2_id_981,43
geo_level_2_id_95,43
geo_level_2_id_355,43
geo_level_2_id_1094,43
geo_level_2_id_1020,43
geo_level_2_id_230,43
geo_level_2_id_1136,43
geo_level_2_id_1365,42
geo_level_2_id_1030,42
geo_level_2_id_1373,42
geo_level_2_id_1310,42
geo_level_2_id_1377,42
geo_level_2_id_199,42
geo_level_2_id_178,42
geo_level_2_id_313,42
geo_level_2_id_937,42
geo_level_2_id_215,42
geo_level_2_id_337,42
geo_level_2_id_922,42
geo_level_2_id_1251,42
geo_level_2_id_247,42
geo_level_2_id_1276,41
geo_level_2_id_91,41
geo_level_2_id_1225,41
geo_level_2_id_958,41
geo_level_2_id_606,41
geo_level_2_id_1355,41
geo_level_2_id_88,41
geo_level_1_id_28,41
geo_level_2_id_1108,41
geo_level_2_id_1035,41
geo_level_2_id_501,41
geo_level_2_id_1012,41
geo_level_2_id_170,41
geo_level_2_id_399,41
geo_level_2_id_992,41
geo_level_2_id_352,41
geo_level_2_id_678,40
geo_level_2_id_1169,40
plan_configuration_a,40
geo_level_2_id_405,40
geo_level_2_id_838,40
geo_level_2_id_1334,39
geo_level_2_id_1073,39
geo_level_2_id_613,39
geo_level_2_id_803,39
geo_level_2_id_276,39
geo_level_2_id_1085,39
geo_level_2_id_76,39
geo_level_2_id_701,39
geo_level_2_id_440,39
geo_level_2_id_1041,39
geo_level_2_id_557,39
geo_level_2_id_171,39
geo_level_2_id_912,39
geo_level_2_id_191,39
geo_level_2_id_423,39
geo_level_2_id_640,38
geo_level_2_id_930,38
geo_level_2_id_366,38
geo_level_2_id_1227,38
geo_level_2_id_891,38
geo_level_2_id_818,38
geo_level_2_id_967,38
geo_level_2_id_1134,38
geo_level_2_id_128,38
geo_level_2_id_1202,38
geo_level_2_id_1219,38
geo_level_2_id_1421,38
geo_level_2_id_211,38
geo_level_2_id_1240,37
geo_level_2_id_18,37
geo_level_2_id_852,37
geo_level_2_id_1277,37
geo_level_2_id_471,37
geo_level_2_id_1161,37
geo_level_2_id_1287,37
geo_level_2_id_84,37
geo_level_2_id_1095,37
geo_level_2_id_396,37
geo_level_2_id_388,37
geo_level_2_id_281,37
geo_level_2_id_777,37
geo_level_2_id_645,36
geo_level_2_id_14,36
geo_level_2_id_724,36
geo_level_2_id_261,36
geo_level_2_id_696,36
